0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0378,0,0,0,0,0,0,0,-0.2524414,-0.8540039,-0.6088867,-81.46342,97.0122,84.87805,0,0,
0.0405,0,0,0,0,0,0,0,-0.2641602,-0.8427734,-0.6279297,-71.52439,112.9268,83.29269,0,0,
0.0432,0,0,0,0,0,0,0,-0.2993164,-0.8515625,-0.6088867,-62.31707,140.4268,82.62196,0,0,
0.0459,0,0,0,0,0,0,0,-0.3334961,-0.8950195,-0.4907227,-54.39024,160.4268,83.17073,0,0,
0.0486,0,0,0,0,0,0,0,-0.3339844,-0.9873047,-0.3461914,-49.81707,160.5488,83.84147,0,0,
0.0513,0,0,0,0,0,0,0,-0.2939453,-1.084961,-0.2666016,-35.67073,134.8781,84.81708,0,0,
0.054,0,0,0,0,0,0,0,-0.2109375,-1.11084,-0.2988281,-14.5122,88.47561,84.14635,0,0,
0.0567,0,0,0,0,0,0,0,-0.1240234,-1.054688,-0.3793945,7.804878,53.47561,81.70732,0,0,
0.0594,0,0,0,0,0,0,0,-0.05908203,-0.9472656,-0.4248047,26.34146,42.56098,78.90244,0,0,
0.0621,0,0,0,0,0,0,0,0.00390625,-0.8325195,-0.4267578,41.09756,44.63415,75.60976,0,0,
